Truth,fileA,fileB,lang
T,apache/add_ignore_header.c,apache/add_ignore_session_id.c,C
F,apache/add_ignore_header.c,apache/cachefilemmap.c,C
F,apache/add_ignore_header.c,apache/mmap_handler.c,C
F,apache/add_ignore_header.c,apache/sendfile_handler.c,C
F,apache/add_ignore_header.c,apache/set_keep_alive_max.c,C
F,apache/add_ignore_header.c,apache/set_keep_alive_timeout.c,C
F,apache/add_ignore_session_id.c,apache/set_cache_store_nostore.c,C
F,apache/cachefilehandle.c,apache/add_ignore_header.c,C
F,apache/cachefilehandle.c,apache/add_ignore_session_id.c,C
T,apache/cachefilehandle.c,apache/cachefilemmap.c,C
F,apache/cachefilehandle.c,apache/http_port.c,C
F,apache/cachefilehandle.c,apache/mmap_handler.c,C
F,apache/cachefilehandle.c,apache/sendfile_handler.c,C
F,apache/cachefilehandle.c,apache/set_cache_store_private.c,C
F,apache/cachefilehandle.c,apache/set_keep_alive_max.c,C
F,apache/cachefilehandle.c,apache/set_keep_alive_timeout.c,C
F,apache/cachefilemmap.c,apache/set_cache_store_nostore.c,C
F,apache/http_port.c,apache/set_cache_store_nostore.c,C
F,apache/http_scheme.c,apache/add_ignore_header.c,C
F,apache/http_scheme.c,apache/add_ignore_session_id.c,C
F,apache/http_scheme.c,apache/cachefilemmap.c,C
T,apache/http_scheme.c,apache/http_port.c,C
F,apache/http_scheme.c,apache/mmap_handler.c,C
F,apache/http_scheme.c,apache/sendfile_handler.c,C
F,apache/http_scheme.c,apache/set_cache_store_private.c,C
F,apache/http_scheme.c,apache/set_keep_alive_max.c,C
F,apache/http_scheme.c,apache/set_keep_alive_timeout.c,C
F,apache/mmap_handler.c,apache/set_keep_alive_timeout.c,C
T,apache/sendfile_handler.c,apache/mmap_handler.c,C
F,apache/sendfile_handler.c,apache/set_cache_store_nostore.c,C
F,apache/set_cache_defex.c,apache/add_ignore_session_id.c,C
F,apache/set_cache_defex.c,apache/cachefilehandle.c,C
F,apache/set_cache_defex.c,apache/cachefilemmap.c,C
F,apache/set_cache_defex.c,apache/mmap_handler.c,C
F,apache/set_cache_defex.c,apache/sendfile_handler.c,C
T,apache/set_cache_defex.c,apache/set_cache_maxex.c,C
F,apache/set_cache_defex.c,apache/set_keep_alive_max.c,C
F,apache/set_cache_defex.c,apache/set_keep_alive_timeout.c,C
T,apache/set_cache_ignore_cachecontrol.c,apache/set_cache_store_nostore.c,C
T,apache/set_cache_ignore_cachecontrol.c,apache/set_cache_store_private.c,C
F,apache/set_cache_ignore_no_last_mod.c,apache/add_ignore_header.c,C
F,apache/set_cache_ignore_no_last_mod.c,apache/add_ignore_session_id.c,C
F,apache/set_cache_ignore_no_last_mod.c,apache/cachefilemmap.c,C
F,apache/set_cache_ignore_no_last_mod.c,apache/http_port.c,C
F,apache/set_cache_ignore_no_last_mod.c,apache/mmap_handler.c,C
F,apache/set_cache_ignore_no_last_mod.c,apache/sendfile_handler.c,C
T,apache/set_cache_ignore_no_last_mod.c,apache/set_cache_ignore_cachecontrol.c,C
T,apache/set_cache_ignore_no_last_mod.c,apache/set_cache_store_nostore.c,C
T,apache/set_cache_ignore_no_last_mod.c,apache/set_cache_store_private.c,C
F,apache/set_cache_ignore_no_last_mod.c,apache/set_keep_alive_max.c,C
F,apache/set_cache_ignore_querystring.c,apache/add_ignore_header.c,C
F,apache/set_cache_ignore_querystring.c,apache/add_ignore_session_id.c,C
F,apache/set_cache_ignore_querystring.c,apache/cachefilehandle.c,C
F,apache/set_cache_ignore_querystring.c,apache/cachefilemmap.c,C
F,apache/set_cache_ignore_querystring.c,apache/http_port.c,C
F,apache/set_cache_ignore_querystring.c,apache/mmap_handler.c,C
F,apache/set_cache_ignore_querystring.c,apache/sendfile_handler.c,C
T,apache/set_cache_ignore_querystring.c,apache/set_cache_ignore_cachecontrol.c,C
T,apache/set_cache_ignore_querystring.c,apache/set_cache_ignore_no_last_mod.c,C
F,apache/set_cache_ignore_querystring.c,apache/set_cache_maxex.c,C
T,apache/set_cache_ignore_querystring.c,apache/set_cache_store_nostore.c,C
T,apache/set_cache_ignore_querystring.c,apache/set_cache_store_private.c,C
F,apache/set_cache_ignore_querystring.c,apache/set_keep_alive_max.c,C
F,apache/set_cache_maxex.c,apache/add_ignore_header.c,C
F,apache/set_cache_maxex.c,apache/cachefilemmap.c,C
F,apache/set_cache_maxex.c,apache/http_port.c,C
F,apache/set_cache_maxex.c,apache/mmap_handler.c,C
F,apache/set_cache_maxex.c,apache/sendfile_handler.c,C
T,apache/set_cache_maxex.c,apache/set_cache_store_nostore.c,C
F,apache/set_cache_maxex.c,apache/set_keep_alive_max.c,C
F,apache/set_cache_maxex.c,apache/set_keep_alive_timeout.c,C
T,apache/set_cache_store_private.c,apache/set_cache_maxex.c,C
T,apache/set_cache_store_private.c,apache/set_cache_store_nostore.c,C
F,apache/set_keep_alive_max.c,apache/add_ignore_session_id.c,C
F,apache/set_keep_alive_max.c,apache/mmap_handler.c,C
F,apache/set_keep_alive_max.c,apache/sendfile_handler.c,C
T,apache/set_keep_alive_max.c,apache/set_keep_alive_timeout.c,C
T,postgre/_outa_arrayexpr.c,postgre/_outcasetestexpr.c,C
F,postgre/_outa_arrayexpr.c,postgre/pq_sendstring.c,C
T,postgre/_outalias.c,postgre/_outinhrelation.c,C
T,postgre/_outalternativesubplan.c,postgre/_outresultpath.c,C
T,postgre/_outappendpath.c,postgre/_outa_indirection.c,C
T,postgre/_outbitmapand.c,postgre/_outalternativesubplan.c,C
T,postgre/_outbitmapor.c,postgre/_outa_indirection.c,C
T,postgre/_outbitmapor.c,postgre/_outresultpath.c,C
T,postgre/_outfieldselect.c,postgre/_outinhrelation.c,C
F,postgre/_outfieldselect.c,postgre/_outwithclause.c,C
T,postgre/_outfunctionscan.c,postgre/_outintoclause.c,C
T,postgre/_outfunctionscan.c,postgre/_outlimit.c,C
T,postgre/_outhashpath.c,postgre/_outlimit.c,C
T,postgre/_outindexpath.c,postgre/_outtypename.c,C
F,postgre/_outindexscan.c,postgre/_outbitmapheapscan.c,C
T,postgre/_outindexscan.c,postgre/_outsubqueryscan.c,C
F,postgre/_outjoinplaninfo.c,postgre/_outalternativesubplan.c,C
T,postgre/_outjoinplaninfo.c,postgre/_outappendpath.c,C
T,postgre/_outjoinplaninfo.c,postgre/_outresultpath.c,C
T,postgre/_outmaterialpath.c,postgre/_outbitmapheapscan.c,C
T,postgre/_outmaterialpath.c,postgre/_outsubqueryscan.c,C
F,postgre/_outrangefunction.c,postgre/_readjoinexpr.c,C
T,postgre/_outrangesubselect.c,postgre/_outa_arrayexpr.c,C
T,postgre/_outresultpath.c,postgre/_outrangefunction.c,C
T,postgre/_outsubqueryscan.c,postgre/_outbitmapheapscan.c,C
T,postgre/_outtidpath.c,postgre/_outbitmapheapscan.c,C
T,postgre/_outtidpath.c,postgre/_outrangefunction.c,C
T,postgre/_outwithclause.c,postgre/_outinhrelation.c,C
F,postgre/_outwithclause.c,postgre/list_intersection.c,C
T,postgre/_readcoercetodomainvalue.c,postgre/_readminmaxexpr.c,C
T,postgre/_readcoerceviaio.c,postgre/_readminmaxexpr.c,C
F,postgre/_readscalararrayopexpr.c,postgre/_outa_arrayexpr.c,C
T,postgre/_readscalararrayopexpr.c,postgre/_readwindowfunc.c,C
T,postgre/_readsublink.c,postgre/_readminmaxexpr.c,C
T,postgre/_readwindowfunc.c,postgre/_readaggref.c,C
